Drink,DrinkThumb,Glass,Ingredient1,Ingredient10,Ingredient11,Ingredient12,Ingredient13,Ingredient14,Ingredient15,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Ingredient7,Ingredient8,Ingredient9,Instructions,Measure1,Measure10,Measure11,Measure12,Measure13,Measure14,Measure15,Measure2,Measure3,Measure4,Measure5,Measure6,Measure7,Measure8,Measure9,Description
Tia-maria,Http://www.thecocktaildb.com/images/media/drink/sih81u1504367097.jpg,Collins Glass,Water,,,,,,,Brown Sugar,Coffee,Rum,Vanilla Extract,,,,,"Boil water, sugar and coffe for 10 mins and let cool. Add rum and vanilla. Put in clean bottle(s) and leave for 1 week before using.",1 cup ,,,,,,,3/4-1 cup ,4 tsp ,1 cup ,4 tsp ,,,,,"Tia-Maria: A rich and indulgent coffee liqueur-based cocktail that combines Tia Maria, vodka, and cream. Tia-Maria is a popular choice for coffee lovers who enjoy a touch of sweetness and a hint of alcohol in their drink. The smooth and velvety texture of the cream complements the robust flavors of the coffee liqueur, creating a delightful and luxurious cocktail."
Tom Collins,Http://www.thecocktaildb.com/images/media/drink/qystvv1439907682.jpg,Collins Glass,Gin,,,,,,,Lemon Juice,Sugar,Club Soda,Maraschino Cherry,Orange,,,,"In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a collins glass alomst filled with ice cubes. Add the club soda. Stir and garnish with the cherry and the orange slice.",2 oz ,,,,,,,1 oz ,1 tsp superfine ,3 oz ,1 ,1 ,,,,"Tom Collins: A classic and refreshing cocktail that features gin, lemon juice, simple syrup, and soda water. The Tom Collins is a timeless drink known for its crisp and citrusy profile. The combination of gin's botanical notes, the tartness of lemon juice, and the sweetness of simple syrup creates a well-balanced and thirst-quenching cocktail. Served over ice and garnished with a lemon wedge, it's a perfect choice for a hot summer day."
Tomato Tang,Http://www.thecocktaildb.com/images/media/drink/869qr81487603278.jpg,Highball Glass,Tomato Juice,,,,,,,Lemon Juice,Celery Salt,,,,,,,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",2 cups ,,,,,,,1-2 tblsp ,1 dash ,,,,,,,"Tomato Tang: A savory and tangy cocktail that combines tomato juice, vodka, Worcestershire sauce, hot sauce, and various spices. The Tomato Tang is a savory twist on the classic Bloody Mary, featuring bold flavors and a zesty kick. The combination of tomato juice, vodka, and seasonings creates a robust and flavorful drink that's often enjoyed as a brunch or hangover remedy."
Tommy's Margarita,Http://www.thecocktaildb.com/images/media/drink/loezxn1504373874.jpg,Old-fashioned Glass,Tequila,,,,,,,Lime Juice,Agave Syrup,,,,,,,Shake and strain into a chilled cocktail glass.,4.5 cl,,,,,,,1.5 cl,2 spoons,,,,,,,"Tommy's Margarita: A simple and delicious variation of the classic margarita that combines tequila, fresh lime juice, and agave nectar. Tommy's Margarita is a cocktail that highlights the natural flavors of the ingredients without the addition of triple sec or other sweet liqueurs. The use of agave nectar as a sweetener gives it a subtle sweetness that complements the tartness of the lime juice, resulting in a smooth and well-balanced margarita."
Turf Cocktail,Http://www.thecocktaildb.com/images/media/drink/utypqq1441554367.jpg,Cocktail Glass,Dry Vermouth,,,,,,,Gin,Anis,Bitters,Orange Peel,,,,,Stir all ingredients (except orange peel) with ice and strain into a cocktail glass. Add the twist of orange peel and serve.,1 oz ,,,,,,,1 oz ,1/4 tsp ,2 dashes ,Twist of ,,,,,"Turf Cocktail: A sophisticated and aromatic cocktail that blends gin, dry vermouth, and orange bitters. The Turf Cocktail is a classic drink with a herbal and citrusy profile. The combination of gin and vermouth creates a complex and well-rounded flavor, while the orange bitters add a subtle hint of bitterness and aroma. It's a refined choice for those who appreciate the elegance of a well-crafted cocktail."
Turkeyball,Http://www.thecocktaildb.com/images/media/drink/rxurpr1441554292.jpg,Shot Glass,Wild Turkey,,,,,,,Amaretto,Pineapple Juice,,,,,,,Shake with ice and strain into a shot glass.,1 oz ,,,,,,,3/4 oz ,1 splash ,,,,,,,"Turkeyball: A festive and flavorful cocktail that combines bourbon, cranberry juice, ginger ale, and a squeeze of lime. The Turkeyball is a seasonal drink often enjoyed during Thanksgiving or holiday gatherings. The combination of bourbon's warm and caramel notes with the tartness of cranberry juice creates a delightful and comforting flavor. The addition of ginger ale and lime adds a refreshing twist, making it a perfect accompaniment to festive celebrations."
Tuxedo Cocktail,Http://www.thecocktaildb.com/images/media/drink/4u0nbl1504352551.jpg,Cocktail Glass,Dry Vermouth,,,,,,,Gin,Maraschino Liqueur,Anis,Orange Bitters,Cherry,,,,Stir all ingredients with ice and strain into a cocktail glass. Garnish with a cherry and a twist of lemon zest.,1 1/2 oz ,,,,,,,1 1/2 oz ,1/4 tsp ,1/4 tsp ,2 dashes ,1 ,,,,"Tuxedo Cocktail: An elegant and sophisticated cocktail that blends gin, dry vermouth, maraschino liqueur, and orange bitters. The Tuxedo Cocktail is a classic choice for those who appreciate the complexity of flavors in a well-made martini. The combination of gin, vermouth, and maraschino liqueur creates a harmonious balance of herbal, floral, and citrus notes. Served in a chilled glass with a cherry garnish, it's a drink that exudes timeless elegance."
Valencia Cocktail,Http://www.thecocktaildb.com/images/media/drink/9myuc11492975640.jpg,Cocktail Glass,Apricot Brandy,,,,,,,Orange Juice,Orange Bitters,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",1 1/2 oz ,,,,,,,1 tblsp ,2 dashes ,,,,,,,"Valencia Cocktail: A vibrant and citrusy cocktail that combines orange juice, gin, and orange liqueur. The Valencia Cocktail is a refreshing and fruity drink that showcases the bright flavors of oranges. The combination of fresh orange juice, gin's botanicals, and the sweet citrus notes of orange liqueur creates a lively and invigorating cocktail. It's a perfect choice for those who enjoy the zesty and uplifting taste of oranges."
Vampiro,Http://www.thecocktaildb.com/images/media/drink/yfhn371504374246.jpg,Old-fashioned Glass,Tequila,,,,,,,Tomato Juice,Orange Juice,Lime Juice,Sugar Syrup,Salt,,,,"Vampiros may be made in a tall glass or an old fashioned glass. Bartenders may first ""rim"" the glass with Kosher Salt, which is done by placing a layer of Kosher Salt on a chopping board, moistening the glass' rim with lime juice or water, and then placing the upside down glass rim onto the Kosher Salt, so that the salt sticks to the moistened rim. The second step is to fill half the glass with ice and add one or two shooter glasses full of high quality Tequila. The next stage is to add the flavouring elements. This is done by squeezing a fresh lime into the glass, adding a few grains of salt, adding citrus-flavoured soda pop, until the glass is 4/5 full, and then adding spicy Viuda de Sanchez (or orange juice, lime juice and pico de gallo). The final step is to stir the ingredients so that the flavours are properly blended.",6 cl,,,,,,,3 cl,3 cl,1.5 cl,1 dash,1 pinch,,,,"Vampiro: A bold and spicy cocktail that blends tequila, tomato juice, lime juice, orange juice, and hot sauce. "
Van Vleet,Http://www.thecocktaildb.com/images/media/drink/fgq2bl1492975771.jpg,Old-fashioned Glass,Light Rum,,,,,,,Maple Syrup,Lemon Juice,,,,,,,"Shake all ingredients with ice, strain into an old-fashioned glass over ice cubes, and serve.",3 oz ,,,,,,,1 oz ,1 oz ,,,,,,,"Van Vleet: A delightful and aromatic cocktail that combines bourbon, elderflower liqueur, lemon juice, and a dash of bitters. The Van Vleet is a sophisticated drink with a balance of sweet, floral, and citrus flavors. The smoothness of bourbon pairs perfectly with the delicate floral notes of elderflower liqueur, while the lemon juice adds a refreshing tartness. Finished with a touch of bitters, it's a cocktail that offers both complexity and elegance."
Vermouth Cassis,Http://www.thecocktaildb.com/images/media/drink/tswpxx1441554674.jpg,Highball Glass,Dry Vermouth,,,,,,,Creme De Cassis,Carbonated Water,,,,,,,"Stir vermouth and creme de cassis in a highball glass with ice cubes. Fill with carbonated water, stir again, and serve.",1 1/2 oz ,,,,,,,3/4 oz ,,,,,,,,"Vermouth Cassis: A sophisticated and fruity cocktail that features vermouth, crème de cassis, and a splash of soda water. The Vermouth Cassis is a light and refreshing drink that highlights the herbal and botanical flavors of vermouth combined with the rich sweetness of crème de cassis, a blackcurrant liqueur. The addition of soda water adds a touch of effervescence, making it a perfect choice for those who appreciate a well-balanced and easy-drinking cocktail."
Vesper,Http://www.thecocktaildb.com/images/media/drink/mtdxpa1504374514.jpg,Cocktail Glass,Gin,,,,,,,Vodka,Lillet Blanc,,,,,,,"Shake over ice until well chilled, then strain into a deep goblet and garnish with a thin slice of lemon peel.",6 cl,,,,,,,1.5 cl,0.75 cl,,,,,,,"Vesper: An iconic and potent cocktail made famous by James Bond, the Vesper combines gin, vodka, and Lillet Blanc. This classic cocktail is known for its strong and sophisticated profile. The blend of gin and vodka creates a powerful base, while the Lillet Blanc, a French aperitif wine, adds a subtle sweetness and herbal complexity. Served in a martini glass with a lemon twist, the Vesper is a drink that embodies the suave and adventurous spirit of 007."
Vesuvio,Http://www.thecocktaildb.com/images/media/drink/26cq601492976203.jpg,Old-fashioned Glass,Light Rum,,,,,,,Sweet Vermouth,Lemon,Powdered Sugar,Egg White,,,,,"Shake all ingredients with ice, strain into an old-fashioned glass over ice cubes, and serve.",1 oz ,,,,,,,1/2 oz ,Juice of 1/2 ,1 tsp ,1 ,,,,,"Vesuvio: A fiery and exotic cocktail that blends rum, amaretto liqueur, and lime juice. The Vesuvio is a tropical-inspired drink with a punch of flavors. The combination of rum's rich and caramel notes, the nutty sweetness of amaretto liqueur, and the tartness of lime juice creates a vibrant and well-balanced cocktail. It's a perfect choice for those who enjoy a taste of the tropics with a touch of indulgence."
Veteran,Http://www.thecocktaildb.com/images/media/drink/iwml9t1492976255.jpg,Old-fashioned Glass,Dark Rum,,,,,,,Cherry Brandy,,,,,,,,Pour the rum and cherry brandy into an old-fashioned glass almost filled with ice cubes. Stir well.,2 oz ,,,,,,,1/2 oz ,,,,,,,,"Veteran: A strong and bold cocktail that combines rye whiskey, sweet vermouth, and a dash of bitters. The Veteran is a classic drink that pays homage to the timeless combination of whiskey and vermouth. The robust and spicy flavors of rye whiskey are complemented by the smoothness and sweetness of vermouth, while the bitters add depth and complexity. Served over ice and garnished with a cherry, it's a cocktail that embodies the spirit of old-fashioned sophistication."
Victor,Http://www.thecocktaildb.com/images/media/drink/voapgc1492976416.jpg,Cocktail Glass,Gin,,,,,,,Sweet Vermouth,Brandy,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",1 1/2 oz ,,,,,,,1/2 oz ,1/2 oz ,,,,,,,"Victor: A sophisticated and refreshing cocktail that blends vodka, elderflower liqueur, lime juice, and a splash of soda water. The Victor is a light and floral drink with a citrusy twist. The combination of vodka's clean and crisp profile, the delicate sweetness of elderflower liqueur, and the zing of lime juice creates a well-balanced and invigorating cocktail. Finished with a touch of soda water, it's a perfect choice for those who enjoy a vibrant and easy-drinking cocktail."
Victory Collins,Http://www.thecocktaildb.com/images/media/drink/lx0lvs1492976619.jpg,Collins Glass,Vodka,,,,,,,Lemon Juice,Grape Juice,Powdered Sugar,Orange,,,,,Shake all ingredients (except orange slice) with ice and strain into a collins glass over ice cubes. Add the slice of orange and serve.,1 1/2 oz ,,,,,,,3 oz ,3 oz unsweetened ,1 tsp ,1 slice ,,,,,"Victory Collins: A vibrant and fruity cocktail that features gin, cranberry juice, lime juice, simple syrup, and soda water. The Victory Collins is a refreshing drink that combines the botanical notes of gin with the tartness of cranberry and lime juices. The addition of simple syrup balances the flavors, while the soda water adds a lively effervescence. Served over ice and garnished with a lime wedge, it's a cocktail that brings a sense of celebration and triumph."
Vodka And Tonic,Http://www.thecocktaildb.com/images/media/drink/lmj2yt1504820500.jpg,Highball Glass,Vodka,,,,,,,Tonic Water,,,,,,,,"Pour vodka into a highball glass over ice cubes. Fill with tonic water, stir, and serve.",2 oz ,,,,,,,,,,,,,,,"Vodka and Tonic: A classic and straightforward cocktail that combines vodka and tonic water. The Vodka and Tonic is a popular choice for those who prefer a clean and simple drink. The neutrality of vodka allows the crisp and refreshing qualities of the tonic water to shine through, resulting in a refreshing and effervescent cocktail."
Vodka Fizz,Http://www.thecocktaildb.com/images/media/drink/xwxyux1441254243.jpg,White Wine Glass,Vodka,,,,,,,Half-and-half,Limeade,Ice,Nutmeg,,,,,"Blend all ingredients, save nutmeg. Pour into large white wine glass and sprinkle nutmeg on top.",2 oz ,,,,,,,2 oz ,2 oz ,,,,,,,"Vodka Fizz: Vodka Fizz is a refreshing and effervescent cocktail made with vodka, lemon juice, sugar, and soda water. It is typically served over ice and garnished with a lemon twist or wedge. The drink combines the clean and crisp flavors of vodka with the tanginess of lemon and the bubbly texture of soda water, resulting in a light and zesty beverage."
Vodka Martini,Http://www.thecocktaildb.com/images/media/drink/qyxrqw1439906528.jpg,Cocktail Glass,Vodka,,,,,,,Dry Vermouth,Olive,,,,,,,"Shake the vodka and vermouth together with a number of ice cubes, strain into a cocktail glass, add the olive and serve.",1 1/2 oz ,,,,,,,3/4 oz ,1 ,,,,,,,"Vodka Martini: Vodka Martini, also known as a Vodkatini or Vodka Martini Cocktail, is a classic cocktail that features vodka and dry vermouth. It is a variation of the iconic Martini, where gin is replaced with vodka. The cocktail is typically stirred with ice and strained into a martini glass, often garnished with a lemon twist or olive. The Vodka Martini offers a smooth and sophisticated taste with the distinct character of vodka."
Vodka Russian,Http://www.thecocktaildb.com/images/media/drink/rpttur1454515129.jpg,Collins Glass,Vodka,,,,,,,Schweppes Russchian,,,,,,,,Mix it as a ordinary drink .,2 oz ,,,,,,,,,,,,,,,"Vodka Russian: Vodka Russian, commonly referred to as a Black Russian, is a simple and indulgent cocktail made with vodka and coffee liqueur, such as Kahlua. The drink is usually served over ice in an old-fashioned glass without any additional mixers. The combination of vodka and coffee liqueur creates a rich and velvety cocktail with a hint of sweetness. It is a popular choice for those who enjoy the deep flavors of coffee and the smoothness of vodka."
Waikiki Beachcomber,Http://www.thecocktaildb.com/images/media/drink/ysuqus1441208583.jpg,Cocktail Glass,Triple Sec,,,,,,,Gin,Pineapple Juice,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",3/4 oz ,,,,,,,3/4 oz ,1 tblsp ,,,,,,,"Waikiki Beachcomber: A tropical and fruity cocktail that transports you to the sunny shores of Waikiki. This delightful drink combines rum, pineapple juice, orange juice, and a splash of grenadine. The Waikiki Beachcomber is a vibrant and refreshing cocktail with the perfect balance of sweetness and tanginess. The tropical flavors of pineapple and orange juice complement the smoothness of rum, while the grenadine adds a touch of color and subtle sweetness. Served over ice and garnished with a pineapple wedge or cherry, it's a cocktail that brings the spirit of the islands to your glass."
